source_var,harmonized_name,description,location,years_present
EIN,ein,Employer Identification Number,Form 990 Header,2012-2024
accntingfees,accounting_fees,Accounting fees,990 Core_Pt IX-11c(A),2013-2024
accntspayableend,accounts_payable_eoy,Accounts payable and accrued expenses -- eoy,990 Core_Pt X-17(B),2013-2024
accntsrcvblend,accounts_receivable_eoy,Accounts receivable -- eoy,990 Core_Pt X-4(B),2013-2024
actonbehalfcd,act_on_behalf_of_issuer_cd,On behalf of issuer?,990 Core_Pt IV-24d,2013-2024
advrtpromo,advertising_promotion,Advertising and promotion,990 Core_Pt IX-12(A),2013-2024
awarexcessbnftcd,aware_prior_excess_benefit_cd,Prior excess benefit transaction?,990 Core_Pt IV-25b,2013-2024
benifitsmembrs,benefits_to_members,Benefits paid to or for members,990 Core_Pt IX-4(A),2013-2024
capitalstktrstend,capital_stock_or_trust_eoy,Capital stock or trust principal -- eoy,990 Core_Pt X-30(B),2013-2024
ceaseoperationscd,terminated_cd,Terminated?,990 Core_Pt IV-31,2013-2024
compltschocd,schedule_o_completed_cd,Schedule O completed?,990 Core_Pt IV-38,2013-2024
compnsatnandothr,compensation_disqualified_persons,Compensation of disqualified persons,990 Core_Pt IX-6(A),2013-2024
compnsatncurrofcr,compensation_current_officers,"Compensation of current officers, directors, etc",990 Core_Pt IX-5(A),2012-2024
conduct5percentcd,partnership_activities_5pct_cd,Activities conducted thru partnership?,990 Core_Pt IV-37,2013-2024
converconventmtng,conferences_conventions_meetings,"Conferences, conventions, meetings",990 Core_Pt IX-19(A),2013-2024
crcounselingqstncd,credit_counseling_cd,Credit counseling?,990 Core_Pt IV-9,2013-2024
cstbasisecur,cost_basis_securities,Sales expense -- Securities,990 Core_Pt VIII-7b(i),2012-2024
cstbasisothr,cost_basis_other,Sales expense -- Other assets,990 Core_Pt VIII-7b(ii),2012-2024
currfrmrcvblend,officer_receivables_eoy,"Receivables from officers, directors, etc. -- eoy",990 Core_Pt X-5(B),2013-2024
deferedrevnuend,deferred_revenue_eoy,Deferred revenue -- eoy,990 Core_Pt X-19(B),2013-2024
deprcatndepletn,depreciation_depletion,"Depreciation, depletion, amortization",990 Core_Pt IX-22(A),2013-2024
dirbusnreltdcd,director_business_relationship_cd,Business relationship with organization?,990 Core_Pt IV-28a,2013-2024
distribtodonorcd,distribution_to_donor_cd,Distribution to donor?,990 Core_Pt V-9b,2013-2024
dnradvisedfundscd,donor_advised_funds_cd,Donor advised funds?,990 Core_Pt IV-6,2013-2024
efile,efile_indicator,E-file indicator,n/a,2020-2024
elf,efile_indicator,E-file indicator,n/a,2015-2019
engageexcessbnftcd,excess_benefit_transaction_cd,Excess benefit transaction?,990 Core_Pt IV-25a,2013-2024
escrwaccntliabend,escrow_account_liability_eoy,Escrow account liability -- eoy,990 Core_Pt X-21(B),2013-2024
excbushldngscd,excess_business_holdings_cd,Excess business holdings?,990 Core_Pt V-8,2013-2024
exceeds1pct509,excess_over_1pct_sec509,Amount support exceeds total (509),990 Sch A_Pt III-7b(f),2013-2024
exceeds2pct170,excess_over_2pct_sec170,Amount support exceeds total (170),990 Sch A_Pt II-5(f),2013-2024
exprstmntcd,nondeductible_disclosure_cd,Non-deduct. disclosure?,990 Core_Pt V-6b,2013-2024
f1096cnt,n_form_1096,Number forms transmitted with 1096,990 Core_Pt V-1a,2013-2024
f8282cnt,n_form_8282,Number of 8282s filed,990 Core_Pt V-7d,2013-2024
feesforsrvcinvstmgmt,fees_for_services_investment_mgmt,Investment management fees,990 Core_Pt IX-11f(A),2013-2024
feesforsrvclobby,fees_for_services_lobbying,Lobbying fees,990 Core_Pt IX-11d(A),2013-2024
feesforsrvcmgmt,fees_for_services_management,Management fees,990 Core_Pt IX-11a(A),2013-2024
feesforsrvcothr,fees_for_services_other,Other fees,990 Core_Pt IX-11g(A),2013-2024
filedf1098ccd,filed_form_1098c_cd,Form 1098-C filed?,990 Core_Pt V-7h,2013-2024
filedf720cd,filed_form_720_cd,Filed Form 720 for tanning,990 Core_Pt V - 14b,2013-2024
filedf8282cd,property_disposition_8282_cd,Form 8282 property disposed of?,990 Core_Pt V-7c,2013-2024
filedf8886tcd,filed_form_8886t_cd,Form 8886-T filed?,990 Core_Pt V-5c,2013-2024
filedf8899cd,filed_form_8899_cd,Form 8899 filed?,990 Core_Pt V-7g,2013-2024
filedf990tcd,filed_form_990t_cd,Form 990-T filed?,990 Core_Pt V-3b,2013-2024
filedlieuf1041cd,filed_in_lieu_1041_cd,Form 990 in lieu of 1041?,990 Core_Pt V-12a,2013-2024
filerqrdrtnscd,filed_employment_tax_returns_cd,Employment tax returns filed?,990 Core_Pt V-2b,2013-2024
